Title	Item Type	Publication Year	Author.x	Publication Title	1st_author_origin	study_city	study_country	spatial_scale	type_of_analysis	disciplinary_focus	component	paradigm	dev_author_country	dev_sc	Author	Tema.central	Por.qué.no.se.incluye.	Información.extra	
HUMAN EXPOSURE TO CHLOROFORM IN A COASTAL URBAN-ENVIRONMENT	journalArticle	1979	BARCELONA, MJ	JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART A-ENVIRONMENTAL SCIENCE AND ENGINEERING & TOXIC AND HAZARDOUS SUBSTANCE CONTROL	USA	Los Angeles	USA	c	qt	se	a	in	1	1	NA	NA	NA	NA	
Human thermal perception of Coastal Mediterranean outdoor urban environments	journalArticle	2013	"Cohen, Pninit; Potchter, Oded; Matzarakis, Andreas"	APPLIED GEOGRAPHY	Israel	Tel Aviv	Israel	c	qt	se	ah	of	1	1	NA	NA	NA	NA	
Impacts of Aerosol Particle Size Distribution and Land Cover Land Use on Precipitation in a Coastal Urban Environment Using a Cloud-Resolving Mesoscale Model	journalArticle	2014	"Hosannah, Nathan; Gonzalez, Jorge E."	ADVANCES IN METEOROLOGY	USA	New York	several	c	qt	e	a	in	1	2	NA	NA	NA	NA	
IMPACTS OF LAND USE ON QUANTITY AND QUALITY OF URBAN RUNOFF (HERZLIYA AND RA'ANANA CASE STUDY)	conferencePaper	2010	"Garzuzi, J.; Goldshleger, N.; Ben-Dor, E.; Asaf, L.; Ben-Yamin, R."	CORE SPATIAL DATABASES - UPDATING, MAINTENANCE AND SERVICES - FROM THEORY TO PRACTICE	Israel	Herzliya	Israel	c	m	ep	ah	for	1	1	NA	NA	NA	NA	
Importance of matrix permeability and quantity of core habitat for persistence of a threatened saltmarsh bird	journalArticle	2013	"Ashcroft, Michael B.; Major, Richard E."	AUSTRAL ECOLOGY	Australia	Sydney	Australia	c+	qt	e	b	in	1	1	NA	NA	NA	NA	
Increases in the climate change adaption effectiveness and availability of vegetation across a coastal to desert climate gradient inmetropolitan Los Angeles, CA, USA	journalArticle	2016	"Tayyebi, Amin; Jenerette, G. Darrel"	SCIENCE OF THE TOTAL ENVIRONMENT	USA	Los Angeles	USA	c	qt	e	ab	in	1	1	NA	NA	NA	NA	
INFLUENCE OF SUBURBAN HABITAT ON A WINTERING BIRD COMMUNITY IN COASTAL NORTHERN CALIFORNIA	journalArticle	2010	"Kalinowski, Ryan S.; Johnson, Matthew D."	CONDOR	USA	Arcata	USA	c	qt	e	b	in	1	1	NA	NA	NA	NA	
Insights and Opportunities Offered by a Rapid Ecosystem Service Assessment in Promoting a Conservation Agenda in an Urban Biodiversity Hotspot	journalArticle	2012	"O'Farrell, Patrick J.; Anderson, Pippin M. L.; Le Maitre, David C.; Holmes, Patricia M."	ECOLOGY AND SOCIETY	South Africa	Cape Town	South Africa	c	qt	ep	ah	for	2	2	NA	NA	NA	NA	
Integration of Lidar Data into a Coupled Mesoscale-Land Surface Model: A Theoretical Assessment of Sensitivity of Urban-Coastal Mesoscale Circulations to Urban Canopy Parameters	journalArticle	2012	"Carter, Michael; Shepherd, J. Marshall; Burian, Steve; Jeyachandran, Indu"	JOURNAL OF ATMOSPHERIC AND OCEANIC TECHNOLOGY	USA	Houston	USA	c	m	e	a	in	1	1	NA	NA	NA	NA	
Inter-community variability in total particle number concentrations in the eastern Los Angeles air basin	journalArticle	2010	"Hudda, N.; Cheung, K.; Moore, K. F.; Sioutas, C."	ATMOSPHERIC CHEMISTRY AND PHYSICS	USA	Los Angeles	USA	c-	qt	e	a	in	1	1	NA	NA	NA	NA	
Larval Development of Aedes aegypti and Aedes albopictus in Peri-Urban Brackish Water and Its Implications for Transmission of Arboviral Diseases	journalArticle	2011	"Ramasamy, Ranjan; Surendran, Sinnathamby N.; Jude, Pavilupillai J.; Dharshini, Sangaralingam; Vinobaba, Muthuladchumy"	PLOS NEGLECTED TROPICAL DISEASES	Sri Lanka	Batticaloa	Sri Lanka	c-	qt	e	b	in	2	2	NA	NA	NA	NA	
Lead concentrations and isotopes in aerosols from Xiamen, China	journalArticle	2010	"Zhu, Laimin; Tang, Jianwu; Lee, Ben; Zhang, Yu; Zhang, Feifei"	MARINE POLLUTION BULLETIN	China	Xiamen	China	c	qt	e	a	in	2	2	NA	NA	NA	NA	
Maintenance of MHC Class IIB diversity in a recently established songbird population	journalArticle	2012	"Whittaker, Danielle J.; Dapper, Amy L.; Peterson, Mark P.; Atwell, Jonathan W.; Ketterson, Ellen D."	JOURNAL OF AVIAN BIOLOGY	USA	San Diego	USA	c-	qt	e	b	in	1	1	NA	NA	NA	NA	
Mapping micro-urban heat islands using NOAA/AVHRR images and CORINE Land Cover: an application to coastal cities of Greece	journalArticle	2004	"Stathopoulou, M; Cartalis, C; Keramitsoglou, I"	INTERNATIONAL JOURNAL OF REMOTE SENSING	Greece	Thessaloniki	Greece	c	qt	e	a	in	1	1	NA	NA	NA	NA	
Mapping underground utilities within conductive soil using multi-frequency electromagnetic induction and ground penetrating radar	journalArticle	2015	"Rashed, Mohamed; Atef, Ali"	ARABIAN JOURNAL OF GEOSCIENCES	Saudi Arabia	Jeddah City	Saudi Arabia	c	m	se	ah	of	2	2	NA	NA	NA	NA	
Measurements of atmospheric aerosols with diameters greater than 10 mu m and their contribution to fixed nitrogen deposition in coastal urban environment	journalArticle	2011	"Matsumoto, Kiyoshi; Tominaga, Sae; Igawa, Manabu"	ATMOSPHERIC ENVIRONMENT	Japan	Yokohama	Japan	c	qt	e	a	in	1	1	NA	NA	NA	NA	
Merging Socioeconomic Imperatives with Geospatial Data: A Non-Negotiable for Coastal Risk Management in South Africa	journalArticle	2015	"Colenbrander, Darryl R.; Sowman, Merle R."	COASTAL MANAGEMENT	South Africa	Cape town	South Africa	c+	ql	ep	ah	for	2	2	NA	NA	NA	NA	
Mitigating Threats of Small Vessels to Maritime Security	conferencePaper	2012	"Trischitta, Patrick R.; Salloum, Hady; Bunin, Barry; Orton, Philip"	2012 IEEE INTERNATIONAL CONFERENCE ON TECHNOLOGIES FOR HOMELAND SECURITY	USA	New York	USA	c-	o	sp	ah	for	1	1	NA	NA	NA	NA	
Monitoring land surface and cover in urban and peri-urban environments using digital aerial photography	journalArticle	2016	"Caccetta, Peter; Collings, Simon; Devereux, Andrew; Hingee, Kassell; McFarlane, Don; Traylen, Anthony; Wu, Xiaoliang; Zhou, Zheng-Shu"	INTERNATIONAL JOURNAL OF DIGITAL EARTH	Australia	Perth	Australia	c+	m	se	a	of	1	1	NA	NA	NA	NA	
Movement and activity patterns of eastern coyotes in a coastal, suburban environment	journalArticle	2004	"Way, JG; Ortega, IM; Strauss, EG"	NORTHEASTERN NATURALIST	2004	USA	Boston	USA	c-	qt	e	b	in	1	1	NA	NA	NA	NA
Multi-Source Characteristics of Atmospheric Deposition in Nanjing, China, as Controlled by East Asia Monsoons and Urban Activities	journalArticle	2016	"Shanquan, Li; Ganlin, Zhang; Jinling, Yang; Nan, Jia"	PEDOSPHERE	China	Nanjing	China	c	qt	e	a	in	2	2	NA	NA	NA	NA	
On-line alkali analysis of individual aerosol particles in urban air	journalArticle	2005	"Svane, M; Janhall, S; Hagstrom, M; Hallquist, M; Pettersson, JBC"	ATMOSPHERIC ENVIRONMENT	Sweden	Goteborg	Sweden	c-	qt	e	a	in	1	1	NA	NA	NA	NA	
On the Environmental Sustainability of Building Integrated Solar Technologies in a Coastal City	journalArticle	2013	"Lebassi, B.; Gonzalez, J. E.; Bornstein, R. D."	JOURNAL OF SOLAR ENERGY ENGINEERING-TRANSACTIONS OF THE ASME	USA	Long Beach	USA	c+	qt	se	ah	of	1	1	NA	NA	NA	NA	
On the relationship between landscape ecological patterns and water quality across gradient zones of rapid urbanization in coastal China	journalArticle	2015	"Li, Yi; Li, Yangfan; Qureshi, Salman; Kappas, Martin; Hubacek, Klaus"	ECOLOGICAL MODELLING	China	Lianyungang	China	c-	qt	e	a	in	2	2	NA	NA	NA	NA	
Original design and ecological recreation: a comparative analysis of wetland parks in the Yangtse River Delta area	conferencePaper	2016	"Lin, Zhang; Yi-Ping, Xia; Qiong, Wu; Lin-Fang, She; Han, Li; Ting-Li, Ruan"	XXIX INTERNATIONAL HORTICULTURAL CONGRESS ON HORTICULTURE: SUSTAINING LIVES, LIVELIHOODS AND LANDSCAPES(IHC2014): V INTERNATIONAL CONFERENCE ON LANDSCAPE AND URBAN HORTICULTURE AND INTERNATIONAL SYMPOSIUM ON SUSTAINABLE MANAGEMENT IN THE URBAN FOREST	China	Shanghai	China	c+	o	e	ab	in	2	2	NA	NA	NA	NA	
Over one hundred years of trace metal fluxes in the sediments of the Pearl River Estuary, South China	journalArticle	2004	"Ip, CCM; Li, XD; Zhang, G; Farmer, JG; Wai, OWH; Li, YS"	ENVIRONMENTAL POLLUTION	China	Shenzhen	China	c+	qt	e	a	in	2	2	NA	NA	NA	NA	
PAH content and mutagenicity of marine sediments from the Venice lagoon	journalArticle	1996	"LaRocca, C; Conti, L; Crebelli, R; Crochi, B; Iacovella, N; Rodriguez, F; TurrioBaldassarri, L; diDomenico, A"	ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY	Italy	Venice	Italy	c-	qt	e	a	in	1	1	NA	NA	NA	NA	
Perspectives for Hamburg as a port city in the context of a changing global environment	journalArticle	2008	Grossmann, Iris	GEOFORUM	Germany	Hambourg	Germany	c-	qt	se	ah	of	1	1	NA	NA	NA	NA	
PHYSICAL-GEOGRAPHY IN SOUTHEAST-ASIA - PAST THEMES, CURRENT STATUS AND FUTURE-TRENDS	journalArticle	1993	"GUPTA, A; WONG, PP"	SINGAPORE JOURNAL OF TROPICAL GEOGRAPHY	China	review	China	c+	o	e	a	in	2	2	NA	NA	NA	NA	
Plastic ingestion by estuarine mullet Mugil cephalus (Mugilidae) in an urban harbour, KwaZulu-Natal, South Africa	journalArticle	2016	"Naidoo, T.; Smit, A. J.; Glassom, D."	AFRICAN JOURNAL OF MARINE SCIENCE	South Africa	KwaZulu-Natal	South Africa	c-	qt	e	ab	in	2	2	NA	NA	NA	NA	
Practical precautions, reasonable responses: How South Australia's planning regime adapts to the coastal impacts of climate change	journalArticle	2015	Watson, John	ENVIRONMENTAL AND PLANNING LAW JOURNAL	Australia	Adelaide	Australia	c+	o	sp	ah	for	1	1	NA	NA	NA	NA	
Presenting SAPUSS: Solving Aerosol Problem by Using Synergistic Strategies in Barcelona, Spain	journalArticle	2013	"Dall'Osto, M.; Querol, X.; Alastuey, A.; Minguillon, M. C.; Alier, M.; Amato, F.; Brines, M.; Cusack, M.; Grimalt, J. O.; Karanasiou, A.; Moreno, T.; Pandolfi, M.; Pey, J.; Reche, C.; Ripoll, A.; Tauler, R.; Van Drooge, B. L.; Viana, M.; Harrison, R. M.; Gietl, J.; Beddows, D.; Bloss, W.; O'Dowd, C.; Ceburnis, D.; Martucci, G.; Ng, N. L.; Worsnop, D.; Wenger, J.; Mc Gillicuddy, E.; Sodeau, J.; Healy, R.; Lucarelli, F.; Nava, S.; Jimenez, J. L.; Gomez Moreno, F.; Artinano, B.; Prevot, A. S. H.; Pfaffenberger, L.; Frey, S.; Wilsenack, F.; Casabona, D.; Jimenez-Guerrero, P.; Gross, D.; Cots, N."	ATMOSPHERIC CHEMISTRY AND PHYSICS	Spain	Barcelona	Spain	c	qt	e	a	in	1	1	NA	NA	NA	NA	
Preserving coastal natural character: Court interpretations of a long-standing New Zealand policy goal	journalArticle	2015	Froude, Victoria Ann	NEW ZEALAND GEOGRAPHER	New Zealand	na	New Zealand	c+	o	sp	ah	for	1	1	NA	NA	NA	NA	
Quantifying Feeding Behavior of Ribbed Mussels (Geukensia demissa) in Two Urban Sites (Long Island Sound, USA) with Different Seston Characteristics	journalArticle	2013	"Galimany, Eve; Rose, Julie M.; Dixon, Mark S.; Wikfors, Gary H."	ESTUARIES AND COASTS	USA	Milford	USA	c-	qt	e	b	in	1	1	NA	NA	NA	NA	
Radiocarbon in Vegetation of coastal Zone of Finnish Bay (Russia)	conferencePaper	2011	"Kulkova, Marianna; Chadov, Fedor; Davidochkina, Alena"	2011 INTERNATIONAL CONFERENCE ON ENVIRONMENT SCIENCE AND BIOTECHNOLOGY (ICESB 2011)	Russia	St Petersboug	Russia	c+	qt	e	ab	in	2	2	NA	NA	NA	NA	
Radiometric normalization for change detection in peatlands: a modified temporal invariant cluster approach	journalArticle	2013	"O'Connell, Jerome; Connolly, John; Vermote, Eric F.; Holden, Nicholas M."	INTERNATIONAL JOURNAL OF REMOTE SENSING	Ireland	Dublin	Ireland	c+	qt	e	a	in	1	1	NA	NA	NA	NA	
Regional evaluation of particulate matter composition in an Atlantic coastal area (Cantabria region, northern Spain): Spatial variations in different urban and rural environments	journalArticle	2011	"Arruti, A.; Fernandez-Olmo, I.; Irabien, A."	ATMOSPHERIC RESEARCH	Spain	Santander	Spain	c	qt	e	a	in	1	1	NA	NA	NA	NA	
Relationship Between Epibenthic Invertebrate Species Assemblages and Environmental Variables in Boston Harbor's Intertidal Habitat	journalArticle	2016	"Eddy, Elizabeth N.; Roman, Charles T."	NORTHEASTERN NATURALIST	Island	Boston	USA	c-	qt	e	b	in	2	1	NA	NA	NA	NA	
Resilience thinking and urban planning in a coastal environment at risks of tsunamis: the case study of Mehuin, Chile	journalArticle	2016	"Villagra, Paula; Herrmann, Geraldine; Quintana, Carolina; Sepulveda, Roger D."	REVISTA DE GEOGRAFIA NORTE GRANDE	Chile	Mehuin	Chile	c	o	sp	ah	for	2	2	NA	NA	NA	NA	
Review of the ecology of Australian urban fauna: A focus on spatially explicit processes	journalArticle	2006	"Garden, J; McAlpine, C; Peterson, A; Jones, D; Possingham, HP"	AUSTRAL ECOLOGY	Australia	review	Australia	c+	ql	e	b	in	1	1	NA	NA	NA	NA	
Runoff of particle bound pollutants from urban impervious surfaces studied by analysis of sediments from stormwater traps	journalArticle	2008	"Jartun, Morten; Ottesen, Rolf Tore; Steinnes, Eiliv; Volden, Tore"	SCIENCE OF THE TOTAL ENVIRONMENT	Norway	Bergen	Norway	c	qt	e	a	in	1	1	NA	NA	NA	NA	
Seasonal and spatial distribution of metals in surface sediment of an urban estuary	journalArticle	2008	"Buggy, Conor J.; Tobin, John M."	ENVIRONMENTAL POLLUTION	Ireland	Dublin	Ireland	c-	qt	e	a	in	1	1	NA	NA	NA	NA	
Seasonal population dynamics of the Australian White Ibis (Threskiornis molucca) in urban environments	journalArticle	2010	"Smith, Andrew C. M.; Munro, Ursula"	EMU	Australia	Sydney	Australia	c-	qt	e	b	in	1	1	NA	NA	NA	NA	
Seasonal variability of aerosol optical properties in Darwin, Australia	journalArticle	2010	"Bouya, Zahra; Box, Gail P.; Box, Michael A."	JOURNAL OF ATMOSPHERIC AND SOLAR-TERRESTRIAL PHYSICS	Australia	Darwin	Australia	c-	qt	e	a	in	1	1	NA	NA	NA	NA	
Small island urban tourism: a residents' perspective	journalArticle	2010	"Nunkoo, Robin; Ramkissoon, Haywantee"	CURRENT ISSUES IN TOURISM	Mauritius	Port Louis	Mauritius	c	ql	se	h	of	2	2	NA	NA	NA	NA	
Social and economic impacts of climate change on the urban environment	journalArticle	2011	"Gasper, Rebecca; Blohm, Andrew; Ruth, Matthias"	CURRENT OPINION IN ENVIRONMENTAL SUSTAINABILITY	USA	na	USA	c+	qt	se	ah	of	1	1	NA	NA	NA	NA	
Some examples of water recycling in Australian urban environments: a step towards environmental sustainability	conferencePaper	2003	Gardner, EA	WATER RECYCLING IN THE MEDITERRANEAN REGION	Australia	Adelaide	Australia	c	o	se	ah	of	1	1	NA	NA	NA	NA	
Source apportionment of inorganic ions in airborne urban particles from Coruna city (NW of Spain) using positive matrix factorization	journalArticle	1999	"Prendes, P; Andrade, JM; Lopez-Mahia, P; Prada, D"	TALANTA	Spain	Coruna	Spain	c	qt	e	a	in	1	1	NA	NA	NA	NA	
Spatial and Temporal Analysis of Organic and Black Carbon Mass Concentrations in Lithuania	journalArticle	2015	"Pauraite, Julija; Mordas, Genrik; Bycenkiene, Steigvile; Ulevicius, Vidmantas"	ATMOSPHERE	Lithuania	Preila	Lithuania	c	qt	e	a	in	2	2	NA	NA	NA	NA	
Study of the Coastal City's Sustainable Development between Regional Oceanic Economy and Ecological Environment	conferencePaper	2008	"Dexiang, Feng; Danli, Xi"	PROCEEDINGS OF 2008 CONFERENCE ON REGIONAL ECONOMY AND SUSTAINABLE DEVELOPMENT	China	Rizhao	China	c	qt	se	ah	of	2	2	NA	NA	NA	NA	
Study on Thermal Environmental Distribution in Coastal City Using ASTER Data	conferencePaper	2009	"Cui, Hua; Yuan, Lu"	2009 JOINT URBAN REMOTE SENSING EVENT, VOLS 1-3	China	Beihai	China	c	qt	e	a	in	2	2	NA	NA	NA	NA	
Testing the Contribution of WorldView-2 Improved Spectral Resolution for Extracting Vegetation Cover in Urban Environments	journalArticle	2015	"Santos, Teresa; Freire, Sergio"	CANADIAN JOURNAL OF REMOTE SENSING	Portugal	Lisbon	Portugal	c	m	ep	bh	for	1	1	NA	NA	NA	NA	
The 2010 California Research at the Nexus of Air Quality and Climate Change (CalNex) field study	journalArticle	2013	"Ryerson, T. B.; Andrews, A. E.; Angevine, W. M.; Bates, T. S.; Brock, C. A.; Cairns, B.; Cohen, R. C.; Cooper, O. R.; de Gouw, J. A.; Fehsenfeld, F. C.; Ferrare, R. A.; Fischer, M. L.; Flagan, R. C.; Goldstein, A. H.; Hair, J. W.; Hardesty, R. M.; Hostetler, C. A.; Jimenez, J. L.; Langford, A. O.; McCauley, E.; McKeen, S. A.; Molina, L. T.; Nenes, A.; Oltmans, S. J.; Parrish, D. D.; Pederson, J. R.; Pierce, R. B.; Prather, K.; Quinn, P. K.; Seinfeld, J. H.; Senff, C. J.; Sorooshian, A.; Stutz, J.; Surratt, J. D.; Trainer, M.; Volkamer, R.; Williams, E. J.; Wofsy, S. C."	JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES	Australia	review	review	c-	qt	e	a	in	1	2	NA	NA	NA	NA	
The contribution of heavy metal pollution derived from highway runoff to Guanabara Bay sediments - Rio-de-Janeiro/Brazil	journalArticle	2007	"Pereira, Edisio; Baptista-Neto, Jose A.; Smith, Bernard J.; McAllister, John J."	ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS	Brazil	Rio de Janeiro	Brazil	c-	qt	e	a	in	2	2	NA	NA	NA	NA	
The Coordinated Development Degree Between Urban Tourism and Ecological Environment of Main Coastal Cities Around Bohai Sea	conferencePaper	2011	"Chen, Huili; Li, Hongbo"	PROCEEDINGS OF THE FIFTH INTERNATIONAL SYMPOSIUM ON GREEN HOSPITALITY AND TOURISM MANAGEMENT	China	Tianjin	China	c	ql	se	a	in	2	2	NA	NA	NA	NA	
The Hinge Areas for Urban Regeneration in Seaside Cities: the High Line in Manhattan, NYC	conferencePaper	2014	Di Girasole, Eleonora Giovene	NEW METROPOLITAN PERSPECTIVES: THE INTEGRATED APPROACH OF URBAN SUSTAINABLE DEVELOPMENT	Italy	Manhattan	USA	c	ql	se	ah	of	1	1	NA	NA	NA	NA	
The impacts of climate change and urbanisation on drainage in Helsingborg, Sweden: Combined sewer system	journalArticle	2008	"Semadeni-Davies, Annette; Hernebring, Claes; Svensson, Gilbert; Gustafsson, Lars-Goeran"	JOURNAL OF HYDROLOGY	Sweden	Helsingborg	Sweden	c	qt	ep	ah	for	1	1	NA	NA	NA	NA	
The influence of the summer sea breeze on thermal comfort in Funchal (Madeira). A contribution to tourism and urban planning	journalArticle	2011	"Lopes, Antonio; Lopes, Sergio; Matzarakis, Andreas; Alcoforado, Maria Joao"	METEOROLOGISCHE ZEITSCHRIFT	Portugal	Funchal	Portugal	c	qt	ep	ah	for	1	1	NA	NA	NA	NA	
The June 2007 Saharan dust event in the central Mediterranean: Observations and radiative effects in marine, urban, and sub-urban environments	journalArticle	2011	"Gomez-Amo, J. L.; Pinti, V.; Di Iorio, T.; di Sarra, A.; Meloni, D.; Becagli, S.; Bellantone, V.; Cacciani, M.; Fua, D.; Perrone, M. R."	ATMOSPHERIC ENVIRONMENT	Italy	Roma	Italy	c-	qt	e	a	in	1	1	NA	NA	NA	NA	
The pest status of Australian white ibis (Threskiornis molucca) in urban situations and the effectiveness of egg-oil in reproductive control	journalArticle	2007	"Martin, John M.; French, Kris; Major, Richard E."	WILDLIFE RESEARCH	Australia	Sudney	Australia	c-	qt	e	b	in	1	1	NA	NA	NA	NA	
The Road Ahead: The Sustainability Transition and Coastal Research	journalArticle	2009	Weinstein, Michael P.	ESTUARIES AND COASTS	USA	na	na	na	o	se	ah	of	1	na	NA	NA	NA	NA	
THE STATE OF THE GREEK ENVIRONMENT IN RECENT YEARS	journalArticle	1994	"KATSOULIS, BD; TSANGARIS, JM"	AMBIO	Greece	Athens	Greece	c	o	e	ab	in	1	1	NA	NA	NA	NA	
The urban heat island in a small city in coastal Portugal	journalArticle	2000	"Pinho, OS; Orgaz, MDM"	INTERNATIONAL JOURNAL OF BIOMETEOROLOGY	Portugal	Aveiro	Portugal	c-	qt	e	a	in	1	1	NA	NA	NA	NA	
Three-year ground based measurements of aerosol optical depth over the Eastern Mediterranean: the urban environment of Athens	journalArticle	2011	"Gerasopoulos, E.; Amiridis, V.; Kazadzis, S.; Kokkalis, P.; Eleftheratos, K.; Andreae, M. O.; Andreae, T. W.; El-Askary, H.; Zerefos, C. S."	ATMOSPHERIC CHEMISTRY AND PHYSICS	Greece	Athens	Greece	c	qt	e	a	in	1	1	NA	NA	NA	NA	
Tourism Planning in Sub-regional Destinations: Heterogeneity of the Tourist Experience on the Andalusian Coastal Municipalities	journalArticle	2010	"Manuel Lopez-Bonilla, Jesus; Miguel Lopez-Bonilla, Luis"	EUROPEAN PLANNING STUDIES	Spain	Sevilla	Spain	c+	qt	se	ah	of	1	1	NA	NA	NA	NA	
Towards an integrated approach for characterization of sinkhole hazards in urban environments: the unstable coastal site of Casalabate, Lecce, Italy	journalArticle	2010	"Delle Rose, Marco; Leucci, Giovanni"	JOURNAL OF GEOPHYSICS AND ENGINEERING	Italy	Casabalate	Italy	c	m	e	a	in	1	1	NA	NA	NA	NA	
Trace metal distribution in sediments of the Pearl River Estuary and the surrounding coastal area, South China	journalArticle	2007	"Ip, Carman C. M.; Li, Xiang-Dong; Zhang, Gan; Wai, Onyx W. H.; Li, Yok-Sheung"	ENVIRONMENTAL POLLUTION	China	Shenzhen	China	c+	qt	e	a	in	2	2	NA	NA	NA	NA	
Tracking lead origin in the Yellow River Estuary and nearby Bohai Sea based on its isotopic composition	journalArticle	2015	"Hu, Ning-jing; Huang, Peng; Liu, Ji-hua; Shi, Xue-fa; Ma, De-yi; Zhu, Ai-mei; Zhang, Jun; Zhang, Hui; He, Lian-hua"	ESTUARINE COASTAL AND SHELF SCIENCE	China	Bohai	China	c+	qt	e	a	in	2	2	NA	NA	NA	NA	
Urban vs. extra-urban environments: Scales of variation of intertidal benthic assemblages in north Portugal	journalArticle	2014	"Oliveira, J. P.; Sousa-Pinto, I.; Weber, G. M.; Bertocci, I."	MARINE ENVIRONMENTAL RESEARCH	Portugal	Porto	Portugal	c+	qt	e	b	in	1	1	NA	NA	NA	NA	
Urbanisation effects on summer habitat comfort: a case study of three coastal cities in southeast China	journalArticle	2010	"Ye, Hong; Wang, Kai; Huang, Shaopeng; Chen, Feng; Xiong, Yongzhu; Zhao, Xiaofeng"	INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY	China	Xiamen	China	c	qt	se	ah	of	2	2	NA	NA	NA	NA	
Variability in atmospheric chlorofluorocarbons (CCl3F and CCl2F2) near a large urban area: Implications for groundwater dating	journalArticle	1998	"Ho, DT; Schlosser, P; Smethie, WM; Simpson, HJ"	ENVIRONMENTAL SCIENCE & TECHNOLOGY	USA	New York	USA	c-	qt	e	a	in	1	1	NA	NA	NA	NA	
